symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status
20MICRONS,20 Microns,16921,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
21STCENMGM,Twentyfirst Century Management Svcs,4,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
360ONE,360 One WAM,13061,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
3BBLACKBIO,3B BlackBio DX,762518,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
3IINFOLTD,3I Infotech,6232,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
3MINDIA,3M India,474,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
3PLAND,3P Land Holdings,2595,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
5PAISA,5Paisa Capital,445,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
63MOONS,63 Moons Technologies,11868,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
A2ZINFRA,A2Z Infra Engineering,20906,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AAATECH,AAA Technologies,12533,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AADHARHFC,Aadhar Housing Finance,23729,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AAKAAR,Aakaar Medical Technologies,757579,NSE_EQ,EQUITY,ES,SM,1600,,ACTIVE
AAKASH,Aakash Exploration Services,240,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
AARADHYA,AARADHYA DISPOSAL INDUS L,758120,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
AAREYDRUGS,Aarey Drugs & Pharmaceuticals,5248,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
AARNAV,Aarnav Fashions,761821,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AARON,Aaron Industries,1030,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AARTECH,Aartech Solonics,17145,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AARTIDRUGS,Aarti Drugs,4481,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AARTIIND,Aarti Industries,7,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AARTIPHARM,Aarti Pharma Labs,13868,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AARTISURF,Aarti Surfactants,19233,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AARVI,Aarvi Encon,19073,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AATMAJ,Aatmaj Healthcare,16961,NSE_EQ,EQUITY,ES,SM,2000,,ACTIVE
AAVAS,Aavas Financiers,5385,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABANSENT,Abans Enterprises,762526,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
ABB,ABB,13,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABBOTINDIA,Abbott,17903,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABCAPITAL,Aditya Birla Capital,21614,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABCOTS,AB Cotspin,759130,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABDL,Allied Blenders & Distillers,24308,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABFRL,Aditya Birla Fashion & Retail,30108,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABHAPOWER,Abha Power and Steel,27284,NSE_EQ,EQUITY,ES,SM,1600,,ACTIVE
ABINFRA,AB Infrabuild,27020,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABLBL,Aditya Birla Lifestyle Brands,756843,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABMINTLLTD,ABM International,5549,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABMKNO,ABM Knowledgeware,762528,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABNINT,ABN Intercorp,8588,NSE_EQ,EQUITY,ES,IT,5000,,ACTIVE
ABREL,Aditya Birla Real Estate,625,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABSLAMC,Aditya Birla Sun Life AMC,6018,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ABSMARINE,ABS Marine Services,23783,NSE_EQ,EQUITY,ES,SM,500,,ACTIVE
ACC,ACC,22,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACCELYA,Accelya Solutions,7053,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACCENTMIC,Accent Microcell,20488,NSE_EQ,EQUITY,ES,SM,500,,ACTIVE
ACCORD,Accord Synergy,21218,NSE_EQ,EQUITY,ES,ST,2000,,ACTIVE
ACCPL,Accretion Pharmaceuticals,757024,NSE_EQ,EQUITY,ES,ST,1200,,ACTIVE
ACCURACY,Accuracy Shipping,1465,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACE,Action Construction Equipment,13587,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACEINTEG,Ace Integrated Solutions,11779,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACETEC,Acetech E-Commerce,761112,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
ACI,Archean Chemical Industries,12024,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACL,Andhra Cements,15420,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACMESOLAR,ACME Solar Holdings,27061,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACSTECH,ACS Technologies,762533,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ACTIVEINFR,Active Infrastructures,30464,NSE_EQ,EQUITY,ES,SM,600,,ACTIVE
ACUTAAS,Acutaas Chemicals,5578,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADANIENSOL,Adani Energy Solutions,10217,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADANIENT,Adani Enterprises,25,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADANIGREEN,Adani Green Energy,3563,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADANIPORTS,Adani Ports & SEZ,15083,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADANIPOWER,Adani Power,17388,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADDICTIVE,Addictive Learning Technology,22468,NSE_EQ,EQUITY,ES,SM,500,,ACTIVE
ADFFOODS,ADF Foods,19761,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADISOFT,Adisoft Technologies,763156,NSE_EQ,EQUITY,ES,SM,800,,ACTIVE
ADL,Archidply Decor,245,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADOR,Ador Welding,34,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADROITINFO,Adroit Infotech,4953,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADSL,Allied Digital Services,14813,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADVAIT,Advait Energy Transitions,760657,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADVANCE,Advance Agrolife,759402,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADVANIHOTR,Advani Hotels & Resorts,14745,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADVENTHTL,Advent Hotels International,759769,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ADVENZYMES,Advanced Enzyme Tech,18039,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AEGISLOG,Aegis Logistics,40,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AEGISVOPAK,Aegis Vopak Terminals,757336,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AEPL,Artemis Electricals,761330,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AEQUS,Aequs,760234,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AEROENTER,Aeroflex Enterprises,12015,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AEROFLEX,Aeroflex Industries,18268,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AERON,Aeron Composite,25065,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
AERONEU,Aeroflex Neu,13689,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AESTHETIK,Aesthetik Engineers,24830,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
AETHER,Aether Industries,9810,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AFCONS,Afcons Infrastructure,25977,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AFFLE,Affle 3i,11343,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AFFORDABLE,Affordable Robotic & Automation,25857,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
AFIL,Akme Fintrade,24160,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
AFSL,Abans Financial Services,13288,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGARIND,Agarwal Industrial Corporation,3389,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGARWALEYE,Dr. Agarwal's Health Care,29452,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGARWALFT,Agarwal Float Glass,14267,NSE_EQ,EQUITY,ES,ST,1500,,ACTIVE
AGARWALTUF,Agarwal Toughened Glass,27309,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
AGI,AGI Greenpac,1412,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGIIL,AGI Infra,24445,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGNI,Agni Green Power,10491,NSE_EQ,EQUITY,ES,SM,2500,,ACTIVE
AGRITECH,Agri-Tech,11072,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGROPHOS,Agro Phos,9046,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGUL,AG Universal,15147,NSE_EQ,EQUITY,ES,SM,2000,,ACTIVE
AHCL,Anlon Healthcare,758968,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHIMSA,Ahimsa Industries,10770,NSE_EQ,EQUITY,ES,ST,3000,,ACTIVE
AHLADA,Ahlada Engineers,2004,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHLEAST,Asian Hotels (East),19438,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHLUCONT,Ahluwalia Contracts,17833,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHLWEST,Asian Hotels (West),19370,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
AIAENG,AIA Engineering,13086,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AIIL,Authum Inv & Infr,23553,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AILIMITED,Abhishek Integrations,4654,NSE_EQ,EQUITY,ES,ST,1500,,ACTIVE
AIMTRON,Aimtron Electronics,23984,NSE_EQ,EQUITY,ES,SM,200,,ACTIVE
AIRAN,Airan,9897,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AIROLAM,Airo Lam,6068,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AISL,ANI Integrated Services,482,NSE_EQ,EQUITY,ES,SM,600,,ACTIVE
AJANTPHARM,Ajanta Pharma,8124,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AJAXENGG,Ajax Engineering,29624,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AJMERA,Ajmera Realty & Infra,17307,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AJOONI,Ajooni Biotech,3403,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKANKSHA,Akanksha Power & Infrastructure,21132,NSE_EQ,EQUITY,ES,ST,1000,,ACTIVE
AKASH,Akash Infra Projects,13510,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKCAPIT,AK Capital Services,762538,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKG,AKG Exim,2176,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKI,AKI India,14890,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
