symbol,company_name,industry,security_id,exchange_segment,instrument,status
360ONE,360 ONE WAM Ltd.,Financial Services,13061,NSE_EQ,EQUITY,ACTIVE
3MINDIA,3M India Ltd.,Diversified,474,NSE_EQ,EQUITY,ACTIVE
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,23729,NSE_EQ,EQUITY,ACTIVE
AARTIIND,Aarti Industries Ltd.,Chemicals,7,NSE_EQ,EQUITY,ACTIVE
AAVAS,Aavas Financiers Ltd.,Financial Services,5385,NSE_EQ,EQUITY,ACTIVE
ABB,ABB India Ltd.,Capital Goods,13,NSE_EQ,EQUITY,ACTIVE
ABBOTINDIA,Abbott India Ltd.,Healthcare,17903,NSE_EQ,EQUITY,ACTIVE
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,21614,NSE_EQ,EQUITY,ACTIVE
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,24308,NSE_EQ,EQUITY,ACTIVE
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,30108,NSE_EQ,EQUITY,ACTIVE
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,756843,NSE_EQ,EQUITY,ACTIVE
ABREL,Aditya Birla Real Estate Ltd.,Realty,625,NSE_EQ,EQUITY,ACTIVE
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,6018,NSE_EQ,EQUITY,ACTIVE
ACC,ACC Ltd.,Construction Materials,22,NSE_EQ,EQUITY,ACTIVE
ACE,Action Construction Equipment Ltd.,Capital Goods,13587,NSE_EQ,EQUITY,ACTIVE
ACMESOLAR,ACME Solar Holdings Ltd.,Power,27061,NSE_EQ,EQUITY,ACTIVE
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,5578,NSE_EQ,EQUITY,ACTIVE
ADANIENSOL,Adani Energy Solutions Ltd.,Power,10217,NSE_EQ,EQUITY,ACTIVE
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,25,NSE_EQ,EQUITY,ACTIVE
ADANIGREEN,Adani Green Energy Ltd.,Power,3563,NSE_EQ,EQUITY,ACTIVE
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,15083,NSE_EQ,EQUITY,ACTIVE
ADANIPOWER,Adani Power Ltd.,Power,17388,NSE_EQ,EQUITY,ACTIVE
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,40,NSE_EQ,EQUITY,ACTIVE
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,757336,NSE_EQ,EQUITY,ACTIVE
AFCONS,Afcons Infrastructure Ltd.,Construction,25977,NSE_EQ,EQUITY,ACTIVE
AFFLE,Affle 3i Ltd.,Information Technology,11343,NSE_EQ,EQUITY,ACTIVE
AIAENG,AIA Engineering Ltd.,Capital Goods,13086,NSE_EQ,EQUITY,ACTIVE
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,23553,NSE_EQ,EQUITY,ACTIVE
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,8124,NSE_EQ,EQUITY,ACTIVE
ALKEM,Alkem Laboratories Ltd.,Healthcare,11703,NSE_EQ,EQUITY,ACTIVE
AMBER,Amber Enterprises India Ltd.,Consumer Durables,1185,NSE_EQ,EQUITY,ACTIVE
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,1270,NSE_EQ,EQUITY,ACTIVE
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,7145,NSE_EQ,EQUITY,ACTIVE
ANANTRAJ,Anant Raj Ltd.,Realty,13620,NSE_EQ,EQUITY,ACTIVE
ANGELONE,Angel One Ltd.,Financial Services,324,NSE_EQ,EQUITY,ACTIVE
ANTHEM,Anthem Biosciences Ltd.,Healthcare,757885,NSE_EQ,EQUITY,ACTIVE
ANURAS,Anupam Rasayan India Ltd.,Chemicals,2829,NSE_EQ,EQUITY,ACTIVE
APARINDS,Apar Industries Ltd.,Capital Goods,11491,NSE_EQ,EQUITY,ACTIVE
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,25780,NSE_EQ,EQUITY,ACTIVE
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,157,NSE_EQ,EQUITY,ACTIVE
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,163,NSE_EQ,EQUITY,ACTIVE
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,5435,NSE_EQ,EQUITY,ACTIVE
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,100,NSE_EQ,EQUITY,ACTIVE
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,5378,NSE_EQ,EQUITY,ACTIVE
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,212,NSE_EQ,EQUITY,ACTIVE
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,236,NSE_EQ,EQUITY,ACTIVE
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,1508,NSE_EQ,EQUITY,ACTIVE
ASTRAL,Astral Ltd.,Capital Goods,14418,NSE_EQ,EQUITY,ACTIVE
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,6066,NSE_EQ,EQUITY,ACTIVE
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,757645,NSE_EQ,EQUITY,ACTIVE
ATUL,Atul Ltd.,Chemicals,263,NSE_EQ,EQUITY,ACTIVE
AUBANK,AU Small Finance Bank Ltd.,Financial Services,21238,NSE_EQ,EQUITY,ACTIVE
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,275,NSE_EQ,EQUITY,ACTIVE
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,8110,NSE_EQ,EQUITY,ACTIVE
AXISBANK,Axis Bank Ltd.,Financial Services,5900,NSE_EQ,EQUITY,ACTIVE
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,16669,NSE_EQ,EQUITY,ACTIVE
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,16675,NSE_EQ,EQUITY,ACTIVE
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,25270,NSE_EQ,EQUITY,ACTIVE
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,305,NSE_EQ,EQUITY,ACTIVE
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,317,NSE_EQ,EQUITY,ACTIVE
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,335,NSE_EQ,EQUITY,ACTIVE
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,341,NSE_EQ,EQUITY,ACTIVE
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,2263,NSE_EQ,EQUITY,ACTIVE
