symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status,latest_date,latest_close,history_rows,avg_volume_50d,avg_traded_value_50d,liquidity_pass,risk_tier,liquidity_reason
20MICRONS,20 Microns,16921,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,169.75,1238,120747,19986946,True,HIGH,PASS
3IINFOLTD,3I Infotech,6232,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,17.69,1202,667320,10195176,True,HIGH,PASS
5PAISA,5Paisa Capital,445,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,302.7,1239,65406,19919304,True,HIGH,PASS
63MOONS,63 Moons Technologies,11868,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,677.35,1238,243452,150078447,True,MEDIUM,PASS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals,5248,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE,2026-05-18,87.11,1183,145843,11537957,True,HIGH,PASS
AARTIDRUGS,Aarti Drugs,4481,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,365.9,1238,150578,54471064,True,HIGH,PASS
AARTIPHARM,Aarti Pharma Labs,13868,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,701.3,815,205944,142097163,True,MEDIUM,PASS
ABCOTS,AB Cotspin,759130,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,219.16,817,84815,24403512,True,HIGH,PASS
ABINFRA,AB Infrabuild,27020,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,13.21,812,1249062,20497518,True,HIGH,PASS
ABSMARINE,ABS Marine Services,23783,NSE_EQ,EQUITY,ES,SM,500,,ACTIVE,2026-05-18,229.75,491,73000,14476020,True,HIGH,PASS
ACI,Archean Chemical Industries,12024,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,539.25,864,175019,102880063,True,MEDIUM,PASS
ADFFOODS,ADF Foods,19761,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,264.1,1238,375578,88381694,True,HIGH,PASS
ADSL,Allied Digital Services,14813,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,122.56,1239,401040,48992458,True,HIGH,PASS
ADVANCE,Advance Agrolife,759402,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,101.16,149,386188,40496777,True,HIGH,PASS
ADVENTHTL,Advent Hotels International,759769,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,145.87,125,199926,31164280,True,HIGH,PASS
ADVENZYMES,Advanced Enzyme Tech,18039,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,363.75,1238,400399,139409113,True,MEDIUM,PASS
AEROENTER,Aeroflex Enterprises,12015,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,100.79,864,495316,42999258,True,HIGH,PASS
AEROFLEX,Aeroflex Industries,18268,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,368.9,670,3323249,1062042249,True,LOW,PASS
AETHER,Aether Industries,9810,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1114.9,979,418748,476521465,True,MEDIUM,PASS
AGARIND,Agarwal Industrial Corporation,3389,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,404.25,1238,87782,37218314,True,HIGH,PASS
AGARWALEYE,Dr. Agarwal's Health Care,29452,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,442.0,314,148405,64054640,True,HIGH,PASS
AGI,AGI Greenpac,1412,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,572.85,1238,718117,448460550,True,MEDIUM,PASS
AGIIL,AGI Infra,24445,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,378.85,456,3201730,1113339810,True,LOW,PASS
AHCL,Anlon Healthcare,758968,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,13.49,173,1458223,20045808,True,HIGH,PASS
AHLUCONT,Ahluwalia Contracts,17833,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,789.6,1238,84170,64138783,True,HIGH,PASS
AIMTRON,Aimtron Electronics,23984,NSE_EQ,EQUITY,ES,SM,200,,ACTIVE,2026-05-18,1037.85,481,59236,57766600,True,HIGH,PASS
AJAXENGG,Ajax Engineering,29624,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,524.75,305,116428,57120867,True,HIGH,PASS
AJMERA,Ajmera Realty & Infra,17307,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,122.68,1239,457886,54220974,True,HIGH,PASS
AKUMS,Akums Drugs & Pharma,24715,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,519.75,440,212858,109739758,True,MEDIUM,PASS
ALEMBICLTD,Alembic,79,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,88.36,1238,285995,24250782,True,HIGH,PASS
ALIVUS,Alivus Life Sciences,5265,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1055.3,1183,101790,104291649,True,MEDIUM,PASS
ALKYLAMINE,Alkyl Amines Chemicals,4487,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1711.0,1238,248714,393651910,True,MEDIUM,PASS
ALLTIME,All Time Plastics,758448,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,230.13,185,210668,48269768,True,HIGH,PASS
ALOKINDS,Alok Industries,17675,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,13.18,1238,6425548,85099603,True,HIGH,PASS
ALPEXSOLAR,Alpex Solar,22688,NSE_EQ,EQUITY,ES,SM,100,,ACTIVE,2026-05-18,937.85,556,68058,61203366,True,HIGH,PASS
AMANTA,Amanta Healthcare,758909,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,125.82,169,162696,19382467,True,HIGH,PASS
ANDHRAPAP,Andhra Paper,166,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,63.44,1238,215081,13467189,True,HIGH,PASS
ANDHRSUGAR,Andhra Sugars,136,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,87.74,1238,536143,47114983,True,HIGH,PASS
